Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides U2932_L1_rep1,Peptides U2932_L1_rep2,Razor + unique peptides U2932_L1_rep1,Razor + unique peptides U2932_L1_rep2,Unique peptides U2932_L1_rep1,Unique peptides U2932_L1_rep2,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L U2932_L1_rep1,Ratio H/L normalized U2932_L1_rep1,Ratio H/L variability [%] U2932_L1_rep1,Ratio H/L count U2932_L1_rep1,Ratio H/L iso-count U2932_L1_rep1,Ratio H/L type U2932_L1_rep1,Ratio H/L U2932_L1_rep2,Ratio H/L normalized U2932_L1_rep2,Ratio H/L variability [%] U2932_L1_rep2,Ratio H/L count U2932_L1_rep2,Ratio H/L iso-count U2932_L1_rep2,Ratio H/L type U2932_L1_rep2,Sequence coverage U2932_L1_rep1 [%],Sequence coverage U2932_L1_rep2 [%],Intensity,Intensity L,Intensity H,Intensity U2932_L1_rep1,Intensity L U2932_L1_rep1,Intensity H U2932_L1_rep1,Intensity U2932_L1_rep2,Intensity L U2932_L1_rep2,Intensity H U2932_L1_rep2,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Deamidation (N) site IDs,Oxidation (M) site IDs,Deamidation (N) site positions,Oxidation (M) site positions
Q6IAT9;P28072;I3L3X7,Q6IAT9;P28072;I3L3X7,2;2;1,2;2;1,2;2;1,Proteasome subunit beta type;Proteasome subunit beta type-6,PSMB6,>tr|Q6IAT9|Q6IAT9_HUMAN Proteasome subunit beta type OS=Homo sapiens GN=PSMB6 PE=2 SV=1;>sp|P28072|PSB6_HUMAN Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4;>tr|I3L3X7|I3L3X7_HUMAN Proteasome subunit beta type-6 (Fragment) OS=Homo sapien,3,2,2,2,1,2,1,2,1,2,8.8,8.8,8.8,25.357,239,239;239;102,0,52.518,0.40402,0.62523,12.035,3,0,Median,NaN,NaN,NaN,1,0,Median,0.4462,0.69358,14.673,2,0,Median,4.6,8.8,157130000,110610000,46520000,92653000,65637000,27016000,64475000,44971000,19504000,,,,1108,4082;7358,True;True,4177;7553,12292;12293;22155,18975;18976;18977;18978;33702,18976;33702,,,,
B3KTM6;A2RUM7;Q59GX9;P46777;Q9BUV4;Q5T7N0,B3KTM6;A2RUM7;Q59GX9;P46777,3;3;3;3;1;1,3;3;3;3;1;1,3;3;3;3;1;1,60S ribosomal protein L5,RPL5,">tr|B3KTM6|B3KTM6_HUMAN Ribosomal protein L5, isoform CRA_b OS=Homo sapiens GN=RPL5 PE=2 SV=1;>tr|A2RUM7|A2RUM7_HUMAN Ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=2 SV=1;>tr|Q59GX9|Q59GX9_HUMAN Ribosomal protein L5 variant (Fragment) OS=Homo sapiens PE=",6,3,3,3,2,3,2,3,2,3,11.3,11.3,11.3,28.044,247,247;297;303;297;101;130,0,21.737,0.4112,0.62405,9.5058,4,0,Median,0.4112,0.62103,8.745,2,0,Median,0.4179,0.64763,13.305,2,0,Median,8.1,11.3,76861000,49741000,27120000,52590000,33508000,19083000,24271000,16234000,8037200,,,,28,1031;1480;6084,True;True;True,1052;1521;6258,3132;3133;4445;18299;18300,4954;4955;4956;6998;27948;27949;27950;27951,4955;6998;27950,,,,
B2ZZ90;Q13085-3;Q13085-2;Q13085;Q13085-4;Q59FY4;B4DYM0;Q59GJ9;F8W8T8;O00763-2;O00763;B4DK31;B4DIG6;B4DIW1;B4DWK9;K4DID9;B4DIR2;Q7Z5W8;Q4G170;F6QQI9;H0YGH5,B2ZZ90;Q13085-3;Q13085-2;Q13085;Q13085-4;Q59FY4;B4DYM0;Q59GJ9;F8W8T8;O00763-2;O00763,3;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,3;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,3;3;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1,Acetyl-CoA carboxylase 1;Biotin carboxylase;Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACA;ACACB,>tr|B2ZZ90|B2ZZ90_HUMAN Acetyl-Coenzyme A carboxylase alpha OS=Homo sapiens GN=ACACA PE=2 SV=1;>sp|Q13085-3|ACACA_HUMAN Isoform 3 of Acetyl-CoA carboxylase 1 OS=Homo sapiens GN=ACACA;>sp|Q13085-2|ACACA_HUMAN Isoform 2 of Acetyl-CoA carboxylase 1 OS=Homo sa,21,3,3,3,2,2,2,2,2,2,1.6,1.6,1.6,265.55,2346,2346;2268;2288;2346;2383;998;1124;1689;2388;2388;2458;306;384;410;445;472;472;690;858;858;859,0,20.735,0.39701,0.62312,21.853,4,2,Median,0.34069,0.54391,27.71,2,1,Median,0.42916,0.6611,16.854,2,1,Median,1.2,1,38042000,23486000,14556000,21578000,13357000,8221100,16464000,10129000,6335200,,,,326,2012;2877;5993,True;True;True,2063;2939;6165,6018;8375;8376;18027,9303;9304;12805;12806;27525,9303;12805;27525,,,,
H0YBZ2;U6FVB0;A9YLN4;M1VPF6;P04233-2;P04233;B4DUJ2;H0YBZ8;E7ESL3;P04233-3,H0YBZ2;U6FVB0;A9YLN4;M1VPF6;P04233-2;P04233;B4DUJ2;H0YBZ8;E7ESL3;P04233-3,2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;1;1;1;1,2;2;2;2;2;2;1;1;1;1,Tyrosine-protein kinase receptor;HLA class II histocompatibility antigen gamma chain,CD74;CD74-Ntrk1 fusion gene;CD74/ROS fusion;CD74-ROS1_C6;R32,>tr|H0YBZ2|H0YBZ2_HUMAN HLA class II histocompatibility antigen gamma chain (Fragment) OS=Homo sapiens GN=CD74 PE=4 SV=1;>tr|U6FVB0|U6FVB0_HUMAN CD74-TRKA OS=Homo sapiens GN=CD74-Ntrk1 fusion gene PE=2 SV=1;>tr|A9YLN4|A9YLN4_HUMAN Tyrosine-protein kinase r,10,2,2,2,2,1,2,1,2,1,7.3,7.3,7.3,34.979,316,316;627;703;806;232;296;144;145;152;160,0,12.593,0.4167,0.62268,48.733,3,0,Median,0.35541,0.48867,34.271,2,0,Median,NaN,NaN,NaN,1,0,Median,7.3,3.2,27320000,17303000,10018000,16857000,10387000,6470600,10463000,6916200,3546900,,,,204,2966;4814,True;True,3033;4933,8797;14523;14524,13517;22441;22442,13517;22441,,,,
P13667,P13667,2,2,2,Protein disulfide-isomerase A4,PDIA4,>sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2,1,2,2,2,2,1,2,1,2,1,3.4,3.4,3.4,72.932,645,645,0,12.708,0.37712,0.62212,8.5802,3,1,Median,0.4146,0.64526,11.762,2,0,Median,NaN,NaN,NaN,1,1,Median,3.4,1.9,34378000,23863000,10515000,25892000,18063000,7829100,8486000,5800100,2685900,,,,1061,1977;3103,True;True,2026;3171,5930;9181;9182,9153;14142;14143,9153;14143,,,,
E9PQZ1;P29692-3;P29692-4;P29692;E9PK01;Q9BW34;D3DWK1;B2RAR6;E9PRY8;P29692-2;H0YE72;H0YE58;E9PK06;E9PPR1;E9PL12;E9PL71;E9PQ49;E9PI39;Q71RH4;Q9H7G6;E9PNW6;E9PQC9;E9PKK3;E9PK72;E9PJD0;E9PN91;E9PMW7,E9PQZ1;P29692-3;P29692-4;P29692;E9PK01;Q9BW34;D3DWK1;B2RAR6;E9PRY8;P29692-2;H0YE72,5;5;5;5;4;4;4;4;4;4;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1,5;5;5;5;4;4;4;4;4;4;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1,4;4;4;4;3;3;3;3;3;3;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1,Elongation factor 1-delta,EEF1D,>tr|E9PQZ1|E9PQZ1_HUMAN Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=2 SV=1;>sp|P29692-3|EF1D_HUMAN Isoform 3 of Elongation factor 1-delta OS=Homo sapiens GN=EEF1D;>sp|P29692-4|EF1D_HUMAN Isoform 4 of Elongation factor 1-delta OS=Homo sapiens GN=E,27,5,5,4,4,3,4,3,3,3,24.4,24.4,19.3,26.506,238,238;257;262;281;261;550;647;647;697;647;156;119;140;166;168;187;199;204;632;647;35;36;39;63;99;106;130,0,33.567,0.42031,0.62191,8.3565,7,0,Median,0.40983,0.60173,9.4118,4,0,Median,0.46632,0.62807,4.2766,3,0,Median,20.6,13.9,694040000,477810000,216230000,264940000,187330000,77611000,429100000,290480000,138620000,,,,772,673;695;1983;3896;5170,True;True;True;True;True,685;708;2032;3988;5296,1943;2027;5944;5945;11710;11711;15750;15751,2969;3103;3104;9174;9175;18096;18097;24184;24185;24186;24187,2969;3104;9175;18097;24184,,,,
J3QQN1;Q6IB22;P40306,J3QQN1;Q6IB22;P40306,1;1;1,1;1;1,1;1;1,Proteasome subunit beta type;Proteasome subunit beta type-10,PSMB10,>tr|J3QQN1|J3QQN1_HUMAN Proteasome subunit beta type-10 (Fragment) OS=Homo sapiens GN=PSMB10 PE=2 SV=1;>tr|Q6IB22|Q6IB22_HUMAN Proteasome subunit beta type OS=Homo sapiens GN=PSMB10 PE=2 SV=1;>sp|P40306|PSB10_HUMAN Proteasome subunit beta type-10 OS=Homo s,3,1,1,1,1,1,1,1,1,1,8,8,8,14.21,138,138;273;273,0,7.8089,0.46841,0.62147,1.6613,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,8,8,10849000,7401900,3446900,6299700,4138100,2161600,4549000,3263700,1285300,,,,901,7234,TRUE,7423,21802;21803,33179;33180;33181,33179,,,,
K7EJL1;B4DDG7;E7ENJ6;B4DN99;B3KNH5;Q9BXS5;Q9BXS5-2;K7ENA7;Q59EK3,K7EJL1;B4DDG7;E7ENJ6;B4DN99;B3KNH5;Q9BXS5;Q9BXS5-2;K7ENA7;Q59EK3,2;2;2;2;2;2;2;1;1,2;2;2;2;2;2;2;1;1,2;2;2;2;2;2;2;1;1,AP-1 complex subunit mu-1,AP1M1,>tr|K7EJL1|K7EJL1_HUMAN AP-1 complex subunit mu-1 OS=Homo sapiens GN=AP1M1 PE=2 SV=1;>tr|B4DDG7|B4DDG7_HUMAN AP-1 complex subunit mu-1 OS=Homo sapiens GN=AP1M1 PE=2 SV=1;>tr|E7ENJ6|E7ENJ6_HUMAN AP-1 complex subunit mu-1 OS=Homo sapiens GN=AP1M1 PE=2 SV=1;>,9,2,2,2,2,1,2,1,2,1,5.4,5.4,5.4,40.296,351,351;351;370;370;423;423;435;136;466,0,12.638,0.47574,0.62039,6.0861,3,0,Median,0.45882,0.65134,6.8848,2,0,Median,NaN,NaN,NaN,1,0,Median,5.4,3.1,92935000,62706000,30229000,73539000,50872000,22667000,19396000,11834000,7561800,,,,345,6366;7801,True;True,6542;8013,19166;19167;23914,29246;29247;36349,29246;36349,,,,
Q6VY07;Q6VY07-2;E9PNZ9;B4DF77,Q6VY07;Q6VY07-2;E9PNZ9;B4DF77,2;2;1;1,2;2;1;1,2;2;1;1,Phosphofurin acidic cluster sorting protein 1,PACS1,>sp|Q6VY07|PACS1_HUMAN Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens GN=PACS1 PE=1 SV=2;>sp|Q6VY07-2|PACS1_HUMAN Isoform 2 of Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens GN=PACS1;>tr|E9PNZ9|E9PNZ9_HUMAN Phosphofurin acidic,4,2,2,2,0,2,0,2,0,2,2.8,2.8,2.8,104.9,963,963;1008;79;499,0,11.741,0.40854,0.62014,9.7644,2,1,Median,NaN,NaN,NaN,0,0,Median,0.40854,0.62014,9.7644,2,1,Median,0,2.8,11220000,7433900,3786100,0,0,0,11220000,7433900,3786100,,,,1365,2077;8015,True;True,2129;8235,6150;24563,9496;37317,9496;37317,,,,
B1Q3B3;B1Q3B4;Q6S4P3;P02792,B1Q3B3;B1Q3B4;Q6S4P3;P02792,2;2;2;2,2;2;2;2,2;2;2;2,Ferritin;Ferritin light chain,FTL;FTL variant,>tr|B1Q3B3|B1Q3B3_HUMAN Ferritin (Fragment) OS=Homo sapiens GN=FTL PE=2 SV=1;>tr|B1Q3B4|B1Q3B4_HUMAN Ferritin (Fragment) OS=Homo sapiens GN=FTL variant PE=3 SV=1;>tr|Q6S4P3|Q6S4P3_HUMAN Ferritin OS=Homo sapiens GN=FTL PE=2 SV=1;>sp|P02792|FRIL_HUMAN Ferrit,4,2,2,2,2,1,2,1,2,1,17.4,17.4,17.4,10.346,92,92;101;191;175,0,13.799,0.4099,0.61934,23.2,3,0,Median,0.43717,0.69059,9.0901,3,1,Median,NaN,NaN,NaN,1,0,Median,17.4,17.4,53451000,35306000,18145000,47947000,31324000,16623000,5503800,3981800,1522000,,,,225,3886;4776,True;True,3978;4895,11686;11687;11688;14445,18068;18069;18070;22344,18069;22344,,,,
Q13829;K7EM01;B7Z6M4,Q13829;K7EM01;B7Z6M4,2;1;1,1;1;1,1;1;1,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2,TNFAIP1,>sp|Q13829|BACD2_HUMAN BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 OS=Homo sapiens GN=TNFAIP1 PE=1 SV=1;>tr|K7EM01|K7EM01_HUMAN BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 (Fragment) OS=,3,2,1,1,2,1,1,1,1,1,8.2,5.1,5.1,36.204,316,316;157;212,0,10.995,0.47096,0.61808,2.2996,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,8.2,5.1,49022000,32928000,16094000,27333000,16644000,10689000,21689000,16284000,5404700,,,,1269,2804;3838,False;True,2865;3927,8162;11525;11526,12491;17837;17838;17839,12491;17837,,,,
B4DNY3;B4DNW7;B4DNA3;B4DI38;D3DPU2;B2RDY9;Q01518-2;Q01518;B4DUZ8,B4DNY3;B4DNW7;B4DNA3;B4DI38;D3DPU2;B2RDY9;Q01518-2;Q01518;B4DUZ8,2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;1,Adenylyl cyclase-associated protein;Adenylyl cyclase-associated protein 1,CAP1,>tr|B4DNY3|B4DNY3_HUMAN Adenylyl cyclase-associated protein OS=Homo sapiens PE=2 SV=1;>tr|B4DNW7|B4DNW7_HUMAN Adenylyl cyclase-associated protein OS=Homo sapiens PE=2 SV=1;>tr|B4DNA3|B4DNA3_HUMAN Adenylyl cyclase-associated protein OS=Homo sapiens PE=2 SV=,9,2,2,2,1,2,1,2,1,2,5.2,5.2,5.2,43.706,401,401;433;433;452;475;475;474;475;422,0,12.808,0.52716,0.6173,22.858,4,0,Median,0.41911,0.53194,18.947,2,0,Median,0.56377,0.71404,18.487,2,0,Median,2.7,5.2,34303000,21817000,12486000,19188000,12216000,6972800,15115000,9601900,5512800,,,,312,3411;3714,True;True,3487;3800,10071;11013;11014;11015,15535;17013;17014;17015,15535;17014,,,,
J3KQC9;Q155Q3;B3KP10;B4DH68;E7EQ17;A8K192;Q86SR7;E9PRV4;Q155Q3-4;Q155Q3-2,J3KQC9;Q155Q3;B3KP10;B4DH68;E7EQ17;A8K192;Q86SR7;E9PRV4;Q155Q3-4;Q155Q3-2,2;2;1;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1;1,Dixin,DIXDC1,">tr|J3KQC9|J3KQC9_HUMAN Dixin OS=Homo sapiens GN=DIXDC1 PE=2 SV=1;>sp|Q155Q3|DIXC1_HUMAN Dixin OS=Homo sapiens GN=DIXDC1 PE=1 SV=2;>tr|B3KP10|B3KP10_HUMAN cDNA FLJ30907 fis, clone FEBRA2006092, highly similar to Homo sapiens DIX domain containing 1 (DIXDC1",10,2,2,2,2,0,2,0,2,0,4.5,4.5,4.5,77.39,682,682;683;211;348;471;472;215;218;219;472,0,12.318,0.40748,0.61564,2.3697,2,0,Median,0.40748,0.61564,2.3697,2,0,Median,NaN,NaN,NaN,0,0,Median,4.5,0,11132000,7916600,3215800,11132000,7916600,3215800,0,0,0,,,,886,4811;5153,True;True,4930;5279,14520;15719,22438;24142,22438;24142,,,,
K7EJC1;Q5U0B3;K7EJR3;R4GMR5;P48556;K7ERW6;B4E2Y4,K7EJC1;Q5U0B3;K7EJR3;R4GMR5;P48556;K7ERW6;B4E2Y4,2;2;2;2;2;1;1,2;2;2;2;2;1;1,2;2;2;2;2;1;1,26S proteasome non-ATPase regulatory subunit 8,PSMD8,">tr|K7EJC1|K7EJC1_HUMAN 26S proteasome non-ATPase regulatory subunit 8 OS=Homo sapiens GN=PSMD8 PE=2 SV=1;>tr|Q5U0B3|Q5U0B3_HUMAN Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 8 OS=Homo sapiens PE=2 SV=1;>tr|K7EJR3|K7EJR3_HUMAN 26S proteasome no",7,2,2,2,2,2,2,2,2,2,10.5,10.5,10.5,19.781,172,172;257;258;287;350;67;217,0,14.54,0.4009,0.61466,1.1334,4,0,Median,0.40919,0.62698,75.189,3,1,Median,0.40181,0.61638,36.243,3,1,Median,10.5,10.5,328170000,218690000,109480000,178600000,120220000,58385000,149570000,98475000,51097000,,,,908,3347;7439,True;True,3420;7636,9905;9906;22358;22359;22360;22361,15289;15290;34021;34022;34023;34024,15289;34022,,,,
Q5HY81;P11441,Q5HY81;P11441,2;2,2;2,2;2,Ubiquitin-like protein 4A,UBL4A,>tr|Q5HY81|Q5HY81_HUMAN Ubiquitin-like protein 4A OS=Homo sapiens GN=UBL4A PE=2 SV=1;>sp|P11441|UBL4A_HUMAN Ubiquitin-like protein 4A OS=Homo sapiens GN=UBL4A PE=1 SV=1,2,2,2,2,2,0,2,0,2,0,10,10,10,20.569,180,180;157,0,11.583,0.37848,0.61148,60.193,2,0,Median,0.37848,0.61148,60.193,2,0,Median,NaN,NaN,NaN,0,0,Median,10,0,41766000,27064000,14702000,41766000,27064000,14702000,0,0,0,,,,1053,5068;7835,True;True,5194;8048,15433;24009,23681;36492,23681;36492,,,,
Q9Y6G9;B3KM42;E9PHI6;B4DDM4;Q6MZE7,Q9Y6G9;B3KM42;E9PHI6;B4DDM4;Q6MZE7,6;5;5;5;3,6;5;5;5;3,6;5;5;5;3,Cytoplasmic dynein 1 light intermediate chain 1,DYNC1LI1;DKFZp686A1525,">sp|Q9Y6G9|DC1L1_HUMAN Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=1 SV=3;>tr|B3KM42|B3KM42_HUMAN cDNA FLJ10219 fis, clone HEMBA1007018, highly similar to Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens PE",5,6,6,6,3,5,3,5,3,5,15.7,15.7,15.7,56.578,523,523;377;407;407;335,0,38.187,0.45176,0.61046,10.085,7,0,Median,0.45176,0.61046,10.123,3,0,Median,0.4235,0.60826,11.237,4,0,Median,8.8,12.4,81731000,53089000,28642000,35405000,22701000,12704000,46327000,30388000,15939000,,,,1539,816;917;5588;5911;6495;6885,True;True;True;True;True;True,829;932;5749;6081;6672;7067,2542;2814;2815;16944;17822;19508;19509;20655,4095;4484;4485;25958;27245;29722;29723;29724;31414,4095;4484;25958;27245;29724;31414,,,,
Q6NUR7;B2R6J2;P15311;E7EQR4;B7Z5V2;B7Z437;J7M2B1;Q9UJU1;Q9UJZ2;Q9UJZ6;Q9UK20;Q9UJZ8;B7Z9R6;Q9UJZ7;E9PQ82,Q6NUR7;B2R6J2;P15311;E7EQR4;B7Z5V2;B7Z437;J7M2B1,15;15;15;14;14;13;8;5;5;5;5;4;4;3;2,15;15;15;14;14;13;8;5;5;5;5;4;4;3;2,8;8;8;8;8;8;1;0;0;0;0;0;4;0;0,Ezrin;Tyrosine-protein kinase receptor,EZR;EZR-ROS1,">tr|Q6NUR7|Q6NUR7_HUMAN Ezrin OS=Homo sapiens GN=EZR PE=2 SV=1;>tr|B2R6J2|B2R6J2_HUMAN cDNA, FLJ92973, highly similar to Homo sapiens villin 2 (ezrin) (VIL2), mRNA OS=Homo sapiens PE=2 SV=1;>sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4;>tr|E",15,15,15,8,12,12,12,12,7,6,22.2,22.2,14.7,69.241,586,586;586;586;554;554;429;858;141;152;159;162;156;193;158;116,0,111.15,0.35344,0.60671,46.055,38,0,Median,0.35411,0.5949,54.97,19,0,Median,0.35096,0.61302,35.789,19,0,Median,18.6,17.6,1771500000,1272500000,498980000,910900000,649250000,261650000,860600000,623270000,237330000,,,,249,480;540;585;1694;2197;2198;3199;3476;3665;3713;5850;5868;5951;6134;6732,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,490;550;596;1741;2252;2253;3269;3552;3750;3799;6018;6036;6121;6308;6912,1339;1340;1341;1342;1343;1568;1569;1570;1571;1572;1573;1672;5113;5114;5115;6443;6444;6445;9486;9487;9488;10222;10223;10224;10225;10226;10227;10228;10229;10230;10841;10842;10843;11012;17651;17652;17706;17906;17907;18499;18500;20206;20207,2040;2041;2042;2043;2044;2404;2405;2406;2407;2408;2409;2410;2411;2412;2557;7986;7987;7988;7989;9906;9907;9908;14610;14611;14612;14613;14614;15766;15767;15768;15769;15770;15771;15772;15773;15774;15775;15776;15777;15778;15779;16755;16756;16757;16758;16759;16760;16761;17012;26988;26989;27069;27366;27367;27368;28262;28263;30746;30747;30748,2042;2405;2557;7988;9906;9907;14610;15769;16755;17012;26988;27069;27368;28262;30746,,,,
M0QXD5;Q9NWS0;M0QZ61;M0QZZ1;M0R0J2;M0R028;M0R2P8;M0R3A8;M0QZM3;M0QYF4;M0R3A4;M0QYA2;Q9NWS0-3,M0QXD5;Q9NWS0;M0QZ61;M0QZZ1;M0R0J2;M0R028;M0R2P8;M0R3A8;M0QZM3;M0QYF4;M0R3A4;M0QYA2;Q9NWS0-3,2;2;1;1;1;1;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1;1;1;1;1,2;2;1;1;1;1;1;1;1;1;1;1;1,PIH1 domain-containing protein 1,PIH1D1,>tr|M0QXD5|M0QXD5_HUMAN PIH1 domain-containing protein 1 (Fragment) OS=Homo sapiens GN=PIH1D1 PE=2 SV=1;>sp|Q9NWS0|PIHD1_HUMAN PIH1 domain-containing protein 1 OS=Homo sapiens GN=PIH1D1 PE=1 SV=1;>tr|M0QZ61|M0QZ61_HUMAN PIH1 domain-containing protein 1 (Fr,13,2,2,2,1,1,1,1,1,1,7.6,7.6,7.6,26.382,236,236;290;54;55;82;87;114;115;129;164;183;274;199,0,12.692,0.418,0.60613,8.0397,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,3.4,4.2,28782000,20057000,8724500,11274000,8014300,3259300,17508000,12043000,5465100,,,,925,1706;1984,True;True,1753;2033,5142;5946,8020;9176,8020;9176,,,,
D6RIU2;D6RDP6;H0Y8T9;D6RHU6;D6RDY1;D6RA76;D6RC11;D6R9S8;D6RCE6;D6RFX6;D6RDI6;D6RCR8;J3KQ67;Q9NY35-2;Q9NY35;D6R9K1;D6RD48;D6RB31;D6RAZ7;D6RCP3;Q9NY35-3,D6RIU2;D6RDP6;H0Y8T9;D6RHU6;D6RDY1;D6RA76;D6RC11;D6R9S8;D6RCE6;D6RFX6;D6RDI6;D6RCR8;J3KQ67;Q9NY35-2;Q9NY35;D6R9K1;D6RD48;D6RB31;D6RAZ7;D6RCP3;Q9NY35-3,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1,Claudin domain-containing protein 1,CLDND1,>tr|D6RIU2|D6RIU2_HUMAN Claudin domain-containing protein 1 (Fragment) OS=Homo sapiens GN=CLDND1 PE=2 SV=1;>tr|D6RDP6|D6RDP6_HUMAN Claudin domain-containing protein 1 (Fragment) OS=Homo sapiens GN=CLDND1 PE=2 SV=1;>tr|H0Y8T9|H0Y8T9_HUMAN Claudin domain-con,21,2,2,2,2,1,2,1,2,1,16.7,16.7,16.7,16.049,138,138;145;155;172;177;180;210;213;223;237;239;245;276;184;253;87;89;100;106;122;158,0,14.297,0.38075,0.60522,22.891,3,0,Median,0.44078,0.69419,30.374,2,0,Median,NaN,NaN,NaN,1,0,Median,16.7,10.9,54403000,36754000,17649000,33747000,22434000,11314000,20655000,14320000,6334900,,,,708,2189;7417,True;True,2244;7612,6421;6422;22301,9875;9876;9877;9878;33944,9877;33944,,,,
Q53FE5;Q9NVZ3-4;Q9NVZ3;Q9NVZ3-2;B4DUR7;F6SKB8;D6RB24;Q9NVZ3-3,Q53FE5;Q9NVZ3-4;Q9NVZ3;Q9NVZ3-2;B4DUR7;F6SKB8;D6RB24;Q9NVZ3-3,2;2;2;2;1;1;1;1,2;2;2;2;1;1;1;1,2;2;2;2;1;1;1;1,Adaptin ear-binding coat-associated protein 2,NECAP2,>tr|Q53FE5|Q53FE5_HUMAN Putative uncharacterized protein (Fragment) OS=Homo sapiens PE=2 SV=1;>sp|Q9NVZ3-4|NECP2_HUMAN Isoform 4 of Adaptin ear-binding coat-associated protein 2 OS=Homo sapiens GN=NECAP2;>sp|Q9NVZ3|NECP2_HUMAN Adaptin ear-binding coat-asso,8,2,2,2,2,1,2,1,2,1,11,11,11,28.342,263,263;237;263;273;185;194;202;172,0,20.078,0.40453,0.60255,13.091,4,0,Median,0.41677,0.60639,15.561,3,0,Median,0.38689,0.59634,0.56478,2,1,Median,11,7.2,96180000,67185000,28995000,54350000,40032000,14319000,41830000,27153000,14676000,,,,1310,214;8000,True;True,217;8219,512;24514;24515;24516;24517,770;37245;37246;37247;37248;37249;37250;37251,770;37247,,,,
B4DH70;Q9UKB1-2;Q9UKB1-3;Q9UKB1,B4DH70;Q9UKB1-2;Q9UKB1-3;Q9UKB1,6;6;6;6,6;6;6;6,3;3;3;3,F-box/WD repeat-containing protein 11,FBXW11,>tr|B4DH70|B4DH70_HUMAN F-box/WD repeat-containing protein 11 OS=Homo sapiens GN=FBXW11 PE=2 SV=1;>sp|Q9UKB1-2|FBW1B_HUMAN Isoform A of F-box/WD repeat-containing protein 11 OS=Homo sapiens GN=FBXW11;>sp|Q9UKB1-3|FBW1B_HUMAN Isoform B of F-box/WD repeat-co,4,6,6,3,5,5,5,5,2,3,12.5,12.5,6.7,58.764,510,510;508;529;542,0,49.785,0.34749,0.59907,14.851,7,0,Median,0.34749,0.59907,6.3503,3,0,Median,0.35803,0.61825,19.908,4,0,Median,10,11,177680000,126700000,50974000,101990000,73178000,28810000,75689000,53524000,22165000,,,,430,535;2419;5194;5535;7741;7793,True;True;True;True;True;True,545;2475;5321;5691;7952;8005,1538;1539;7052;15846;15847;16794;23758;23759;23889;23890,2351;2352;10776;24349;24350;24351;24352;25735;36125;36126;36127;36128;36308;36309;36310,2351;10776;24350;25735;36125;36308,,,,
